data_type,collector,purpose,text
person name,competent department,security,We may submit the real-name verification information you provide to competent departments or their legally authorized organization to verify the authenticity and accuracy of the information.
person name,cooperative party,,"When you choose to participate in marketing activities organized by us and our affiliates or third parties, to provide you with consistent services in joint activities, or to send you cash rewards offered by our entrust cooperative parties in time, we and our cooperative parties may need your name, mailing address, contact information and other information."
person name,third party payment entity,,"Third-party payment entities may need to use your name,"
person name,we,"security, services, analytics","We may submit the real-name verification information you provide to competent departments or their legally authorized organization to verify the authenticity and accuracy of the information.
We need to locally process the names and avatars from the address book in the client for local display purpose only.
When you choose to participate in marketing activities organized by us and our affiliates or third parties, to provide you with consistent services in joint activities, or to send you cash rewards offered by our entrust cooperative parties in time, we and our cooperative parties may need your name, mailing address, contact information and other information."
personal information,UNSPECIFIED_ACTOR,services,"a. When you use the products and services in the Feishu open platform or the products and services of other third parties, these products and services may use the relevant system permissions authorized by you, or you may be required to submit personal information according to the features of these products and services."
personal information,feishu,"services, security","In order to provide the Service for you and every Customer, meet Customer's needs of working collaboration and management, maintain the normal and safe operation of the Service, and optimize the functional experience of the Service, Feishu will collect the personal information you provide or authorize any other party to provide when registering an account and using the Service, as well as that generated during your use of the Service, according to the following purposes and methods:"
personal information,we,"security, services, analytics","4.2.1 During your use of the Service, we will continue to retain your personal information, and the storage period will not exceed the period necessary to provide the service.
As our business develops, we may carry out mergers, acquisitions and asset transfers, and your personal information may be transferred accordingly.
How the Service Collects and Use Personal Information"
personal information need,we,"security, services, analytics",", the Customer will provide us with the personal information needed to enable the features and the Service, we will process this information based on the Customer's instructions, including but not limited to your account name, name, corporate email, phone number, work location, job title, rank, organizational relationship and other information, and the Customer will update such information from time to time according to the actual situation."
postal address,cooperative party,,"When you choose to participate in marketing activities organized by us and our affiliates or third parties, to provide you with consistent services in joint activities, or to send you cash rewards offered by our entrust cooperative parties in time, we and our cooperative parties may need your name, mailing address, contact information and other information."
postal address,we,"security, services, analytics","When you choose to participate in marketing activities organized by us and our affiliates or third parties, to provide you with consistent services in joint activities, or to send you cash rewards offered by our entrust cooperative parties in time, we and our cooperative parties may need your name, mailing address, contact information and other information."
precise geolocation,feishu,"services, security","1.9.2 If the Customer Administrator activates the GPS, WiFi or Bluetooth clock-in mode, Feishu, as instructed by the Customer, will obtain your GPS location information."
profile photo,UNSPECIFIED_ACTOR,services,"When you log in with a Feishu account on a third-party product or service, or bind a Feishu account with another third-party or related party account, such applications or services will use your name, profile photo, app installation status, device information, the order information for purchasing third-party products and other information as authorized by you."
relevant device information,Xiaomi,services,"In order to enable the message push feature to the terminal device you are using, terminal equipment manufacturers (Huawei, Xiaomi, OPPO, VIVO, etc.) may use your mobile phone model, version and relevant device information through SDK and other technologies."
relevant device information,huawei,services,"In order to enable the message push feature to the terminal device you are using, terminal equipment manufacturers (Huawei, Xiaomi, OPPO, VIVO, etc.) may use your mobile phone model, version and relevant device information through SDK and other technologies."
